Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
11,male,Hobbit,Mr.,Folcard,J,Hayward,113 Rue de Sidi Bou Zid,Cite Essanaouber 2,33,Governorate Kef,7170,TN,Tunisia,FolcardHayward@rhyta.com,Pladery,Fuel6eeKa9,78 312 957,Galbassi,4/29/1969,MasterCard,5469937146294976,752,6/2017,,1Z 135 577 88 0578 695 2,Silver,Composing machine tender,FamilyMart,1995 Nissan CQ-X,NextInventor.tn,O+,122.5,55.7,2' 7",79,8994bea2-30d9-4fef-8466-2b1fa8684515,36.814964,10.210892
12,female,Hobbit,Dr.,Jemima,F,Smallburrow,Drangahrauni 89,Kópavogur,,,202,IS,Iceland,JemimaSmallburrow@teleworm.us,Gaidge,EeNg0vah2Oh,419 7619,Labingi,1/29/1980,MasterCard,5389457448756611,754,9/2016,,1Z 688 356 29 7381 674 8,Blue,Environmental meteorologist,Hudson's MensWear,1998 Plymouth Voyager,PropertyReconditioning.is,AB-,128.3,58.3,2' 3",69,19ffb70c-6d11-46f1-90b2-104643c6304c,64.137342,-21.925699
13,male,Hobbit,Mr.,Saradoc,J,Banks,Paraguay 72,Petrer,A,Alicante,03610,ES,Spain,SaradocBanks@dayrep.com,Nobs1930,ce0aeV4kue6,757 648 944,Whitfoot,10/22/1930,Visa,4485055790028252,404,9/2017,,1Z 0F8 37W 58 1900 144 1,Black,Sportscaster,Susie's Casuals,1994 Ford Probe,CueTune.es,B-,148.9,67.7,3' 11",120,26561279-8b59-437b-8249-b21f9aef3c10,38.473733,-0.710924
14,female,Hobbit,Ms.,Dina,B,Brownlock,Via Longhena 131,Pavona,RM,Roma,00040,IT,Italy,DinaBrownlock@gustr.com,Mored1996,mi4vie7Ee,0391 2229886,Brandybuck,2/17/1996,MasterCard,5411485419302141,211,11/2017,EE46864224,1Z 153 762 21 8299 450 8,Purple,Gaming services,Laughner's Cafeteria,2005 Holden Jackaroo,CaymanIslandsCasino.it,A+,128.0,58.2,2' 8",81,2bf1255a-4638-430b-b567-b0663ad2e369,41.577145,12.507606
15,female,Hobbit,Ms.,Caramella,A,Took-Brandybuck,528 Parkdale Avenue,Hamilton,ON,Ontario,L8K 1A4,CA,Canada,CaramellaTook-Brandybuck@armyspy.com,Yountivell,ohXie4zei,905-543-4100,Proudfoot,1/28/1963,Visa,4485566049429711,765,9/2020,170 135 024,1Z 6W7 072 99 2133 974 0,Red,Amusement machine repairer,The Independent Planners,1997 Mitsubishi L 200,MathSymposium.ca,A+,122.3,55.6,2' 8",82,07fbf938-6b22-4930-b2ab-52d08a3480b3,43.268982,-79.740846
16,male,Hobbit,Mr.,Longo,P,Baggins,Καλαμπάκα 299,ΛΕΥΚΩΣΙΑ,NI,Λευκωσία,1406,CY,Cyprus (Greek),LongoBaggins@jourrapide.com,Whiparinkes,quohMa4ij,96 717094,Roper,10/21/1965,Visa,4716102606121649,913,11/2017,,1Z W30 284 86 3053 002 9,Red,Electrical and electronics repairer,Earthworks Yard Maintenance,1995 Lincoln Mark VIII,BasicChannels.com.cy,B+,101.4,46.1,3' 8",112,6965bcfb-1fb3-47e3-8799-f9c3921d56d1,41.304344,-72.873355
17,male,Hobbit,Mr.,Kalimac,G,Brandagamba,Dunajska 4,Štore,,,3220,SI,Slovenia,KalimacBrandagamba@gustr.com,Pubsed1982,mi7Gie4Vah2,040-437-537,Gawkroger,10/3/1982,Visa,4716574679796491,383,5/2016,,1Z 651 077 09 3838 561 2,Blue,Public relations consultant,Dubrow's Cafeteria,2003 Renault Clio,SaveOndemand.si,O+,145.2,66.0,2' 5",74,96a4f3fc-8825-42bb-bc91-29332c8aec40,46.2013,15.285775
18,male,Hobbit,Mr.,Brutus,L,Smallburrow,293 Michael Papadakis Street,Nicosia,NI,Nicosia,1459,CY,Cyprus (Anglicized),BrutusSmallburrow@jourrapide.com,Sition,ieDech5m,22 111312,Sandheaver,12/31/1938,Visa,4716131338814965,467,8/2018,,1Z E51 9W2 96 0071 455 5,Brown,Agricultural and food scientist,The Record Shops at TSS,1993 Toyota MR2,MortgageLesson.com.cy,A+,130.9,59.5,2' 5",73,77b6458f-3b2b-46bf-b530-72f243cf4e16,41.337687,-72.952735
19,male,Hobbit,Mr.,Holfast,H,Hogpen,1106 St. John Street,Firgrove,WC,Western Cape,7130,ZA,South Africa,HolfastHogpen@cuvox.de,Andere,xo4hef2X,085 567 2482,Sackville-Baggins,12/30/1967,MasterCard,5334461310145834,243,2/2016,,1Z 374 F80 58 1202 676 1,Blue,Driver-sales worker,Electric Avenue,2000 Peugeot 406,IndustryGolf.co.za,O+,129.6,58.9,2' 9",85,bcfa53ac-d9ae-4bc3-9838-8b5621af6ac5,-34.169453,18.890125
20,male,Hobbit,Mr.,Cottar,M,Whitfoot,Ollenhauer Str. 56,Stuttgart Mitte,BW,Baden-Württemberg,70184,DE,Germany,CottarWhitfoot@einrot.com,Pundsovers,ooW9quie5,0711 47 52 47,Took,7/13/1944,Visa,4532725038536935,894,7/2020,,1Z 440 767 74 6780 146 2,Green,Conservation forester,Atlas Realty,2012 Peugeot 1007,Dolls101.de,O+,109.6,49.8,3' 2",97,d4a74baa-2921-429f-b318-8e21332cb480,48.80447,9.174091
21,female,Hobbit,Ms.,Linda,O,Oldbuck,Lungolago 129,Tarasp,,,7553,CH,Switzerland,LindaOldbuck@cuvox.de,Whort1980,oequaiGh5oo,081 843 21 78,Noakes,9/27/1980,Visa,4916913721658457,778,4/2016,,1Z 604 679 32 9235 681 8,Purple,Molding coremaking and casting machine tender,StopGrey,2006 Bentley Arnage,SelfGrade.ch,B+,117.5,53.4,3' 2",96,dc82ba94-0b51-4d8a-8c35-dfbe1f3bd3e7,46.80949,10.305288
22,female,Hobbit,Ms.,Primula,G,Twofoot,Dalmatinova 31,Velenje,,,3322,SI,Slovenia,PrimulaTwofoot@superrito.com,Firligned,eeSee3quong,051-471-748,Zaragamba,2/12/1932,Visa,4916469650177290,504,5/2020,,1Z 853 5A1 57 6921 827 5,Purple,Remote sensing specialist,Forum Cafeterias,1998 Mazda Sentia,RecruiterTutor.si,O+,141.7,64.4,2' 9",83,361baaf3-1df5-4cd5-8714-033919f3478c,46.269701,14.956716
23,female,Hobbit,Mrs.,Lalia,G,Banks,Skolavordustig 45,Reykjavík,,,132,IS,Iceland,LaliaBanks@dayrep.com,Hicagaver,eezohW4P,422 4260,Tunnelly,8/12/1970,MasterCard,5167193417118586,759,12/2016,,1Z 8W4 85V 63 8498 720 3,Yellow,Industrial therapist,Good Guys,2001 Renault Twingo,PremiumLay.is,B+,116.8,53.1,3' 8",113,95b05b4b-50a6-4a8d-9553-47ff7d8aa71f,64.111277,-21.972874
24,male,Hobbit,Mr.,Hildigard,M,Oldbuck,R Parque Gondarim 66,Vila Nova de Gaia,PO,Porto,4405-879,PT,Portugal,HildigardOldbuck@armyspy.com,Awerly,Eengungi9,21 224 174 6832,Labingi,5/15/1946,MasterCard,5275483781280412,068,4/2018,,1Z A10 637 99 1725 376 1,Green,Clerical specialist,Chatham,2000 Toyota Hi-Ace,BridalShip.com.pt,A+,132.2,60.1,2' 0",62,8a8ab984-e782-4e34-88be-9e8f1f935f14,41.299507,-8.493379
25,male,Hobbit,Mr.,Otho,S,Sackville,Waldstrasse 43,FELLING,OO,Upper Austria,4673,AT,Austria,OthoSackville@cuvox.de,Ement1993,iYec3cei,0680 131 50 50,Sackville,5/16/1993,MasterCard,5204303318845683,398,6/2016,,1Z 224 760 14 3110 529 0,Blue,File clerk,New World,2008 Mazda Rustler,VoipMachines.at,AB+,130.0,59.1,2' 5",74,dbfb0e45-9584-4b6f-8f81-4b4758ae15e4,48.102608,13.787506
26,female,Hobbit,Mrs.,Bellisima,M,Diggle,R Luís Sardoeira 18,Gateira,PO,Porto,4605-443,PT,Portugal,BellisimaDiggle@armyspy.com,Tamet1993,uh7Xavoo,21 224 949 5060,Bunce,4/14/1993,Visa,4556194161938700,583,10/2016,,1Z 973 797 76 5568 071 8,Blue,Mathematical technician,Allied Radio,2006 Ford Freestyle,MillionaireSeeker.com.pt,B+,145.0,65.9,2' 9",85,2234e65c-f3ab-41ab-a764-54f1208c1662,41.144453,-8.386224
27,female,Hobbit,Ms.,Ruby,T,Maggot,11 Karaiskaki Sq,Kalograia,KY,Kyrenia,9571,CY,Cyprus (Anglicized),RubyMaggot@fleckens.hu,Ardsomal1960,ohxua2Chie,27 177705,Oldbuck,5/3/1960,MasterCard,5374778013866700,613,8/2016,,1Z 763 397 22 1388 698 2,Green,Petroleum technician,Littler's,1999 Cadillac DeVille,BuyFinancials.com.cy,B+,142.3,64.7,3' 3",99,ca50c39b-3341-4b35-a6e4-8ad696eeaeea,41.383606,-72.862266
28,male,Hobbit,Mr.,Fortinbras,M,Maggot,Rue Libert 187,Waret-l'Evêque,WLG,Liège,4217,BE,Belgium,FortinbrasMaggot@dayrep.com,Fambeephyal,mu2kai8eGh4,0490 55 98 07,Hornblower,3/26/1951,Visa,4916737763775246,969,12/2018,,1Z 394 A79 17 4345 436 8,Blue,Marking and identification printing machine operator,Grodins,2010 Opel Insignia,DIYMakeover.be,AB+,149.2,67.8,3' 3",100,72ebca3f-55d3-43d0-b990-274bbef442aa,50.607053,5.026596
29,female,Hobbit,Mrs.,Lavinia,B,Fairbairn,Πλ Καραισκάκη 297,ΑΓΙΟΣ ΘΕΡΙΣΣΟΣ,FA,Αμμόχωστος,5871,CY,Cyprus (Greek),LaviniaFairbairn@cuvox.de,Nescrall44,bai0Fohsoo,99 649484,Chubb,9/18/1944,Visa,4929385069422272,473,4/2018,,1Z 928 Y14 99 3394 528 1,Blue,Chemical technician,The Happy Bear,2008 Ford F-450,ResearchRoots.com.cy,A+,124.7,56.7,3' 7",108,70a6687c-dd84-47cd-abdb-8c742a2bbfbc,41.31468,-72.950134
30,male,Hobbit,Mr.,Fortinbras,G,Goodbody,701 Wit Rd,Bryanston,GA,Gauteng,2021,ZA,South Africa,FortinbrasGoodbody@armyspy.com,Rinstall,Eex7iex7O,085 690 0657,Zaragamba,12/28/1976,MasterCard,5580582571147986,853,6/2019,,1Z A27 307 39 9041 204 2,Green,Drug Enforcement Administration (DEA) agent,Musicland,2007 Saturn Sky,BikeInventory.co.za,B+,147.0,66.8,3' 1",93,0708c425-b886-448b-8215-bf8bd64284a1,-26.244433,28.036008
31,female,Hobbit,Mrs.,Asphodel,O,Zaragamba,Baltasar Brum 94,La Paloma,RO,Rocha,27001,UY,Uruguay,AsphodelZaragamba@dayrep.com,Haost1945,no8EiKief9,9646 4668,Bunce,1/25/1945,Visa,4532858418842084,281,5/2020,,1Z W59 18W 90 0170 614 4,Blue,Able seaman,Hughes & Hatcher,2005 Jensen SV-8,StorageCds.uy,O+,123.2,56.0,3' 3",99,9bc429a5-0405-4462-a61d-96578c39902a,-32.6527,-55.681572
32,male,Hobbit,Mr.,Celedor,G,Brown,Osmajoentie 86,VARKAUS,NS,Northern Savonia,78870,FI,Finland,CeledorBrown@superrito.com,Agarbers,Oobi2eephaish,042 670 0857,Goodchild,12/28/1989,MasterCard,5311464299214362,192,11/2017,281289-219S,1Z 611 847 75 5353 433 7,Blue,Mail machine operator,Jafco,2003 Ford Econovan,WeddingCrawler.fi,O+,137.5,62.5,2' 9",83,ec0e9cb4-69d9-4beb-84f4-e768f5e0e266,62.405154,27.975979
33,male,Hobbit,Mr.,Goodwill,L,Gamgee,Warfhuisterweg 107,Wehe-Den Hoorn,GR,Groningen,9964 AX,NL,Netherlands,GoodwillGamgee@rhyta.com,Frone1982,eeYie2ing,06-33336835,Bunce,6/4/1982,Visa,4539264375146028,019,1/2016,,1Z V52 71Y 61 1981 883 4,Blue,Conservation scientist,Allied Radio,2001 Saturn Vue,NoAbility.nl,O-,126.5,57.5,3' 8",113,e84b4cc8-be3e-400e-b0de-db8835880b54,53.336902,6.515428
34,female,Hobbit,Ms.,Ruby,C,Oldbuck,Apor Péter u. 35.,Tiszaszôlôs,JN,Jász-Nagykun-Szolnok,5244,HU,Hungary,RubyOldbuck@teleworm.us,Buthationd,phaeSach1oh,(30) 314-1850,Grubb,1/15/1979,MasterCard,5161828979148945,437,11/2020,,1Z 0Y2 375 01 4264 720 5,Yellow,Radiologist,Boston Sea Party,2002 Seat Toledo,TestClicks.hu,B+,100.1,45.5,2' 4",70,0d047fa9-38e0-4d5a-84b0-eb0bb7f63b0d,47.612825,20.761036
35,female,Hobbit,Mrs.,Dora,I,Brandagamba,55 Taylor Street,DRUMANURE,VIC,Victoria,3636,AU,Australia,DoraBrandagamba@gustr.com,Samelver,Shavuu2oo,(03) 5342 8228,Brandybuck,3/10/1975,Visa,4532202242092378,560,5/2016,,1Z 521 E47 93 2874 654 3,Green,Administrative law judge,Royal Gas,2002 Audi S3,TimelessLink.com.au,A+,120.1,54.6,2' 0",61,eea8af3d-868b-4397-bf6f-6aca25ee2b6a,-36.175514,145.436237
36,female,Hobbit,Ms.,Duenna,B,Bolger-Baggins,Bramstrup 79,København K,SJ,Region Sjælland,1007,DK,Denmark,DuennaBolger-Baggins@jourrapide.com,Brifyinutly,Yeeshae6y,41-18-87-93,Sandyman,6/10/1952,MasterCard,5515492526018029,357,6/2016,100652-3192,1Z 148 5Y1 98 6399 470 1,Blue,Cutting punching and press machine operator,Electric Avenue,2003 Skoda Fabia,OddsTable.dk,O+,141.5,64.3,3' 5",105,ff6b2a92-7925-4a0d-a521-0095a5626959,55.767113,12.57539
37,female,Hobbit,Ms.,Primula,B,Longhole,48 avenue de l'Amandier,BLOIS,CE,Centre,41000,FR,France,PrimulaLonghole@teleworm.us,Nournst,ThaeheuBu5,02.55.81.93.08,Proudfoot,7/18/1979,Visa,4485112303261597,381,8/2018,,1Z 664 91Y 27 3432 938 5,Blue,Account executive,Soul Sounds Unlimited,1996 Opel Astra,CinemaVoice.fr,O+,130.2,59.2,2' 6",77,e604f585-cd87-416b-9f4b-865f0027900c,47.510678,1.344001
38,male,Hobbit,Mr.,Meriadoc,R,Gammidge,ul. Księdza Ściegiennego Piotra 35,Kielce,,,25-380,PL,Poland,MeriadocGammidge@dayrep.com,Stimplus1963,iep2shuM5Oh,88 324 66 43,Bunce,5/14/1963,MasterCard,5402380656340196,428,6/2019,63051440399,1Z 075 243 10 6501 459 6,Blue,Residential advisor,Universal Design Partners,1995 Fiat Barchetta,OldWorth.pl,O+,130.5,59.3,3' 1",93,9ca44cba-16d6-4937-bd70-90be1127d8f9,50.796653,20.713793
39,male,Hobbit,Mr.,Blanco,B,Hayward,Eskelundsvej 88,København V,SJ,Region Sjælland,1550,DK,Denmark,BlancoHayward@gustr.com,Fater1950,ieWei5ailoo,81-83-60-43,Gardner,3/20/1950,Visa,4929593217084007,231,4/2017,200350-0015,1Z 965 030 33 4137 166 4,Blue,Mental health counselor,Vinyl Fever,2008 BMW 525,FamilyBoots.dk,A+,125.0,56.8,3' 6",106,83a19d92-9cde-4f38-854d-f8716d590062,55.721713,12.595663
40,male,Hobbit,Mr.,Isembold,G,Diggle,Mariatal 42,WIRGLAU,OO,Upper Austria,4924,AT,Austria,IsemboldDiggle@cuvox.de,Quity1932,Xeel5haeGez,0681 780 83 25,Hogpen,12/30/1932,Visa,4539486774029931,151,12/2020,,1Z 469 695 35 1198 750 7,Blue,Forming machine operator,Edge Yard Service,2010 Acura MDX,AmericasInvestor.at,O+,117.5,53.4,2' 7",80,80f7afd4-de99-4f64-aa02-8c11db7eef75,48.178975,13.382342
41,male,Hobbit,Mr.,Gorhendad,C,Chubb,P.O. Box 198,Ikerasassuaq,KU,Kujalleq,3924,GL,Greenland,GorhendadChubb@rhyta.com,Barturponat,MohH5Mie,33 62 00,Chubb-Baggins,9/6/1992,MasterCard,5402923857529115,761,12/2016,,1Z 948 476 93 4242 062 4,Green,Medical transcriptionist,Life Plan Counselling,2006 Mercury Mountaineer,DefaultForum.gl,A+,99.7,45.3,3' 0",91,cae47a92-3050-4eed-b7ab-b8cfe468be2f,60.04012,-43.120736
42,female,Hobbit,Mrs.,Alfrida,F,Burrows,93 Solomon Avenue,Northwood,,Christchurch,8051,NZ,New Zealand,AlfridaBurrows@superrito.com,Thics1976,meefioGh3is,(022) 3374-355,Bracegirdle,1/28/1976,Visa,4485618513382718,139,10/2016,,1Z 335 F68 51 0904 311 3,Black,Compensation and benefits technician,Ejecta,2002 Cadillac Seville,AdvisorJob.co.nz,A+,147.8,67.2,2' 1",64,f40e57fa-27ea-4351-bc86-3042d36c4335,-43.560682,172.670312
43,female,Hobbit,Dr.,Pansy,R,Bracegirdle,Feldstrasse 63,Danstedt,ST,Sachsen-Anhalt,38855,DE,Germany,PansyBracegirdle@fleckens.hu,Wititival,aaM5xui9b,039458 44 79,Took,3/14/1994,Visa,4556570873213997,005,8/2016,,1Z 2A9 602 21 3043 620 3,Black,Personal and home care aide,Ole's,2001 Bizzarrini BZ-2001,MalibuStores.de,O+,101.2,46.0,2' 6",77,dcf60001-8692-4c73-8334-d10e22a67c90,51.743751,10.720499
44,male,Hobbit,Mr.,Ranugad,A,Bracegirdle,Piilostentie 79,HEINOLA,PA,Päijänne Tavastia,18150,FI,Finland,RanugadBracegirdle@fleckens.hu,Allight1966,athei8Eekur,040 658 9973,Hogpen,12/27/1966,MasterCard,5448459705822358,749,4/2020,271266-757J,1Z 755 559 38 0298 076 8,Blue,Pharmacy aide,Heilig-Meyers,2001 Seat Ibiza,DiscJackets.fi,AB+,147.2,66.9,2' 10",86,f492637c-863d-4ad1-839d-7c4fb5694997,61.126548,25.948399
45,female,Hobbit,Dr.,Eglantine,R,Labingi,Davidschlag 6,BICHL,NO,Lower Austria,3282,AT,Austria,EglantineLabingi@rhyta.com,Ontowlynat,ieghae3geeGh,0660 260 02 09,Grubb,2/9/1980,MasterCard,5300894529595854,020,4/2016,,1Z 243 941 94 9746 761 0,Red,Genetics nurse,Asian Plan,1995 Toyota Crown,WirelessRelations.at,O+,122.5,55.7,3' 7",110,ab8aac39-3302-4fea-aed6-95f83edba710,48.064839,15.13286
46,male,Hobbit,Mr.,Tolman,L,Took,88 Rue de Fes,Residence Zahret El Mourouj,13,Governorate Ben Arous,2074,TN,Tunisia,TolmanTook@rhyta.com,Biturnight46,Nec7Aegaile,70 454 432,Headstrong,8/12/1946,Visa,4556654715132266,042,1/2018,,1Z 975 F46 36 5548 800 0,Blue,Blogger,Pacific Stereo,2011 Land Rover Range Rover Sport,FindScifi.tn,O+,139.7,63.5,3' 4",101,f923261e-09af-412f-b4e9-050458c7c2e9,35.93358,10.640913
47,female,Hobbit,Mrs.,Regina,T,Goldworthy,Lendplatz 55,HAUPING,OO,Upper Austria,4910,AT,Austria,ReginaGoldworthy@rhyta.com,Feeinesell,Lo8phebu,0664 499 99 74,Sandheaver,11/7/1951,MasterCard,5492203789629452,891,4/2020,,1Z F23 096 89 2435 658 0,Purple,Dairy farmer,Las Vegas Yard Management,2000 Marcos Mantara,AirlineFunds.at,B+,99.9,45.4,2' 5",74,dbc55cd3-26e5-4aa8-935d-2001d9e71c6b,48.300946,13.527469
48,female,Hobbit,Ms.,Lily,T,Took-Brandybuck,Slottsberget 73,ASKER,,,1385,NO,Norway,LilyTook-Brandybuck@fleckens.hu,Butunamblery,oix5ifahSoh,493 24 664,Labingi,11/1/1931,Visa,4539935554802404,019,4/2019,,1Z 866 226 56 5329 764 5,Blue,Motorcycle mechanic,JasmineSola,1993 Lancia Thema,Riotinsurance.no,O+,108.5,49.3,2' 5",74,ed54590d-583e-4c7a-ba33-02f30cf8f070,59.759962,10.476717
49,male,Hobbit,Mr.,Rollo,G,Gardner,Sídliště Za Chlumem 723,Jirkov 1,US,Ústecký kraj,431 11,CZ,Czech Republic,RolloGardner@fleckens.hu,Crent1951,shuuNito7za,777 902 963,Hayward,7/26/1951,Visa,4716471280407420,948,5/2019,,1Z 9F6 50W 40 7460 887 3,Blue,Plating and coating machine operator,Acuserv,2009 Kia Borrego,SpellNumber.cz,O+,104.1,47.3,3' 7",110,dbd3312e-6304-4481-887e-a63b341fdd2d,50.431156,13.56464
50,male,Hobbit,Mr.,Fulvus,G,Longhole,Μιχαλακοπούλου 219,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ,LI,Λεμεσός,4107,CY,Cyprus (Greek),FulvusLonghole@teleworm.us,Toll1981,Ohngoo0ee4oh,25 267446,Whitfoot,5/7/1981,MasterCard,5172788085826718,067,4/2020,,1Z 105 128 27 6433 875 8,Green,Painting and coating worker,Kenny Rogers Roasters,2004 Mazda Tribute,TelevisionVoip.com.cy,O+,133.3,60.6,3' 9",114,c7d889b9-d90b-4ed0-883b-d8d7f392c0a3,41.367176,-72.885163
51,male,Hobbit,Mr.,Ferumbras,B,Sandheaver,75 Orchard Place,Cromwell,,Central Otago,9310,NZ,New Zealand,FerumbrasSandheaver@jourrapide.com,Withiskeed,bo8Thei8ahch,(027) 0654-675,Roper,10/5/1944,Visa,4916286965203557,095,2/2016,,1Z 280 W69 42 1282 680 5,Blue,Loading machine operator,Square Circle,1994 Nissan Pulsar,FremontInsuranceAgent.co.nz,O+,125.0,56.8,3' 0",92,9bd10e85-e13e-4899-8e83-b834a8a74888,-44.986608,169.252641
52,female,Hobbit,Mrs.,Celendine,B,Grubb,Nyár utca 16.,Szentgyörgyvölgy,ZA,Zala,8975,HU,Hungary,CelendineGrubb@einrot.com,Thuskultor,thes7veeZ9K,(92) 584-321,Gamgee,6/19/1973,Visa,4539408568716069,622,10/2017,,1Z 565 788 02 2063 103 7,Purple,Patient representative,Present Company,2008 Fiat 500,ShedSizes.hu,A-,104.3,47.4,2' 11",88,3a21b1d5-d9f1-4d73-b48d-ff9c7c37518b,46.706778,16.494542
